#BA : Bomber Attack. Group of bombers attacking city or airfields.
#SUM: SUply Mission. Group of transport planes, doing suply mission task
#BD: Bomber Defend. Group og defending bombers, attacking the incoming enemy tanks
#EBA: Escort BA bombers
#ESU: Escort SUply transports
#EBD: Escort BD bombers
#ET: Escort Tanks. When you attack a sector, planes doing air cover and intercept enemy BD
#I: INTercept. In general, intercept enemy Suply transports and enemy BA.
##--red,sqds,

#2 = axis side
#gerfig = 3 leters country + 3 leters code
#FW-190A8 = is the name of the plane to be displayed on briefings, reports and stats
#1 = because is human flyable
#air.FW_190A8 = is the class air you just find as explainded above
#default = is the loadout
#100 = is the fuel load
#3000 = is the crousier altitude
#400 = is the criusier speed
#: is a separator
#I = intercpet task (NOTE that is a single letter, not 3 letter "INT")
#45 is the plane amount number
#, final comma

##--red,sqds,
brifig=315PK,211Squadronmid,243Squadron;
brijab=211Squadronmid,34Squadronbc,243Squadron,42Squadron;
bribom=211Squadron,34Squadronbc;
britrp=48Squadrontc,52Squadrontc,194Squadrontc;



#A20-B
1,bribom,A-20B,1,air.A_20B,4x500lbs,75,3500,320:BA,50,

#Beaufighter
1,bribom,BeaufighterMkI,1,air.BEAUMKI,2xfuse500,70,3000,400:BA,50,

#Mosquito
1,bribom,Mosquito B.MK.VI 1942,1,air.MOSQUITO6,4x250,70,3000,400:BA,50,
1,brijab,Mosquito B.MK.VI 1942,1,air.MOSQUITO6,4x250,70,3000,400:ET,50,
1,bribom,Mosquito B.MK.VI 1942,1,air.MOSQUITO6,4x250,70,3000,400:BD,50,

#Blenheim Mk.IV
1,bribom,Blenheim Mk.IV,1,air.BLENHEIM4,4x250,70,3000,400:BA,50,

# RED RE-SUPPLY 

#Blenheim Mk.IF, 1940*
1,britrp,BlenheimMkIF,1,air.BLENHEIM1F,default,100,3000,400:SUM,77,

#Stinson L5
1,britrp,Stinson L51,1,air.L_5,default,100,3000,400:SUM,100,


# RED FIGHTERS 

#hurricane Mk IIb 12/300  0/300
1,brifig,Hurricane-MkIIb,1,air.HurricaneMkIIb,default,100,2500,380:EBA,100,

1,brifig,TomahawkMkIIb,1,air.P_40SUKAISVOLOCH2B,default,100,2500,400:EBD,100,


# P40-E 6/300  8/300
1,brifig,P-40E,1,air.P_40E,default,100,3000,400:ESU,50,
1,brifig,P-40E,1,air.P_40E,default,100,3000,400:EBD,50,
1,brifig,P-40E,1,air.P_40E,default,100,3000,400:ER,50,
1,brifig,P-40E,1,air.P_40E,default,100,3000,400:I,50,
1,brifig,P-40E,1,air.P_40E,default,100,3000,400:ET,50,

# Spitfire LF Vc(2) trop CW,1942
1,brifig,Spitfire MkVc 16lbs,1,air.SPITFIRE5C216LBS,default,100,3000,400:EBA,21,
1,brifig,Spitfire MkVc 16lbs,1,air.SPITFIRE5C216LBS,default,100,3000,400:ESU,21,
1,brifig,Spitfire MkVc 16lbs,1,air.SPITFIRE5C216LBS,default,100,3000,400:EBD,21,
1,brifig,Spitfire MkVc 16lbs,1,air.SPITFIRE5C216LBS,default,100,3000,400:ER,21,
1,brifig,Spitfire MkVc 16lbs,1,air.SPITFIRE5C216LBS,default,100,3000,400:I,21,

1,brifig,SpitfireVb,1,air.SPITFIRE5B,default,100,2500,400:I,50,
1,brifig,SpitfireVb,1,air.SPITFIRE5B,default,100,2500,400:ESU,50,







#   BLUE SQUADS   

gerfig=I_JG3,II_JG3,I_JG27;
gerjab=I_LG2,III_JG5_3,1H_31a;
itafig=356squadriglia,i01;
itabom=Stab_KG27a;
gerbom=Stab_KG27a,I_KG27a,II_KG27a,III_KG53a;
gertrp=KGrzbV102a,Jv44_;


# BLUE BOMBERS   

